Sanskit Text	Sanskrit Transliteration	Translation
पर वो मरुतस तविषा उदन्यवो वयोव्र्धो अश्वयुजः परिज्रयः |	pra vo marutas taviṣā udanyavo vayovṛdho aśvayujaḥ parijrayaḥ |	2 O Maruts, rich in water, strengtheners of life are your strong bands with harnessed steeds, that wander far.
सं विद्युता दधति वाशति तरितः सवरन्त्य आपो ऽवना परिज्रयः ||	saṃ vidyutā dadhati vāśati tritaḥ svaranty āpo 'vanā parijrayaḥ ||	Trita roars out at him who aims the lightning-flash. The waters sweeping round are thundering on their way.
विद्युन्महसो नरो अश्मदिद्यवो वातत्विषो मरुतः पर्वतच्युतः |	vidyunmahaso naro aśmadidyavo vātatviṣo marutaḥ parvatacyutaḥ |	3 They gleam with lightning, Heroes, Casters of the Stone, wind-rapid Maruts, overthrowers of the bills,
अब्दया चिन मुहुर आ हरादुनीव्र्त सतनयदमा रभसा उदोजसः ||	abdayā cin muhur ā hrādunīvṛta stanayadamā rabhasā udojasaḥ ||	Oft through desire to rain coming with storm of hail, roaring in onset, violent and exceeding strong.
वय अक्तून रुद्रा वय अहानि शिक्वसो वय अन्तरिक्षं वि रजांसि धूतयः |	vy aktūn rudrā vy ahāni śikvaso vy antarikṣaṃ vi rajāṃsi dhūtayaḥ |	4 When, mighty Rudras, through the nights and through the days, when through the sky and realms of air, shakers of all,
वि यद अज्रां अजथ नाव ईं यथा वि दुर्गाणि मरुतो नाह रिष्यथ ||	vi yad ajrāṃ ajatha nāva īṃ yathā vi durghāṇi maruto nāha riṣyatha ||	When over the broad fields ye drive along like ships, e’en to strongholds ye come, Maruts, but are not harmed.
तद वीर्यं वो मरुतो महित्वनं दीर्घं ततान सूर्यो न योजनम |	tad vīryaṃ vo maruto mahitvanaṃ dīrghaṃ tatāna sūryo na yojanam |	5 Maruts, this hero strength and majesty of yours hath, like the Sun, extended o’er a lengthened way,
एता न यामे अग्र्भीतशोचिषो ऽनश्वदां यन नय अयातना गिरिम ||	etā na yāme aghṛbhītaśociṣo 'naśvadāṃ yan ny ayātanā ghirim ||	When in your course like deer with splendour unsubdued ye bowed the hill that gives imperishable rain.
अभ्राजि शर्धो मरुतो यद अर्णसम मोषथा वर्क्षं कपनेव वेधसः |	abhrāji śardho maruto yad arṇasam moṣathā vṛkṣaṃ kapaneva vedhasaḥ |	6 Bright shone your host, ye Sages, Maruts, when ye smote the waving tree as when the worm consumeth it.
अध समा नो अरमतिं सजोषसश चक्षुर इव यन्तम अनु नेषथा सुगम ||	adha smā no aramatiṃ sajoṣasaś cakṣur iva yantam anu neṣathā sugham ||	Accordant, as the eye guides him who walks, have ye led our devotion onward by an easy path.
न स जीयते मरुतो न हन्यते न सरेधति न वयथते न रिष्यति |	na sa jīyate maruto na hanyate na sredhati na vyathate na riṣyati |	7 Never is he, O Maruts, slain or overcome, never doth he decay ne’er is distressed or harmed;
नास्य राय उप दस्यन्ति नोतय रषिं वा यं राजानं वा सुषूदथ ||	nāsya rāya upa dasyanti notaya ṛṣiṃ vā yaṃ rājānaṃ vā suṣūdatha ||	His treasures, his resources, never waste away, whom. whether he be prince or Ṛṣi, ye direct.
नियुत्वन्तो गरामजितो यथा नरो ऽरयमणो न मरुतः कबन्धिनः |	niyutvanto ghrāmajito yathā naro 'ryamaṇo na marutaḥ kabandhinaḥ |	8 With harnessed team like heroes overcoming troops, the friendly Maruts, laden with their water-casks,
पिन्वन्त्य उत्सं यद इनासो अस्वरन वय उन्दन्ति पर्थिवीम मध्वो अन्धसा ||	pinvanty utsaṃ yad ināso asvaran vy undanti pṛthivīm madhvo andhasā ||	Let the spring flow, and when impetuous' they roar they inundate the earth with floods of pleasant meath.
परवत्वतीयम पर्थिवी मरुद्भ्यः परवत्वती दयौर भवति परयद्भ्यः |	pravatvatīyam pṛthivī marudbhyaḥ pravatvatī dyaur bhavati prayadbhyaḥ |	9 Free for the Maruts is the earth with sloping ways, free for the rushing Ones is heaven with steep descents.
परवत्वतीः पथ्य्र अन्तरिक्ष्याः परवत्वन्तः पर्वता जीरदानवः ||	pravatvatīḥ pathyṛ antarikṣyāḥ pravatvantaḥ parvatā jīradānavaḥ ||	The paths of air's mid-region are precipitous, precipitous the mountains with their running streams.
यन मरुतः सभरसः सवर्णरः सूर्य उदिते मदथा दिवो नरः |	yan marutaḥ sabharasaḥ svarṇaraḥ sūrya udite madathā divo naraḥ |	10 When, as the Sun hath risen up, ye take delight, O bounteous radiant Maruts, Heroes of the sky,
न वो ऽशवाः शरथयन्ताह सिस्रतः सद्यो अस्याध्वनः पारम अश्नुथ ||	na vo 'śvāḥ śrathayantāha sisrataḥ sadyo asyādhvanaḥ pāram aśnutha ||	Your coursers weary not when speeding onṭheir way, and rapidly ye reach the end of this your path.
अंसेषु व रष्टयः पत्सु खादयो वक्षस्सु रुक्मा मरुतो रथे शुभः |	aṃseṣu va ṛṣṭayaḥ patsu khādayo vakṣassu rukmā maruto rathe śubhaḥ |	11 Lances are on your shoulders, anklets on your feet, gold chains are on your breasts, gems, Maruts, on your car.
अग्निभ्राजसो विद्युतो गभस्त्योः शिप्राः शीर्षसु वितता हिरण्ययीः ||	aghnibhrājaso vidyuto ghabhastyoḥ śiprāḥ śīrṣasu vitatā hiraṇyayīḥ ||	Lightnings aglow with flame are flashing in your hands, and visors wroughtof gold are laid upon your heads.
तं नाकम अर्यो अग्र्भीतशोचिषं रुशत पिप्पलम मरुतो वि धूनुथ |	taṃ nākam aryo aghṛbhītaśociṣaṃ ruśat pippalam maruto vi dhūnutha |	12 Maruts, in eager stir ye shake the vault of heaven, splendid beyond conception, for its shining fruit.
सम अच्यन्त वर्जनातित्विषन्त यत सवरन्ति घोषं विततम रतायवः ||	sam acyanta vṛjanātitviṣanta yat svaranti ghoṣaṃ vitatam ṛtāyavaḥ ||	They gathered when they let their deeds of might flash forth. The Pious Ones send forth a far-resounding shout.
युष्मादत्तस्य मरुतो विचेतसो रायः सयाम रथ्यो वयस्वतः |	yuṣmādattasya maruto vicetaso rāyaḥ syāma rathyo vayasvataḥ |	13 Sage Maruts, may we be the drivers of the car of riches ful I of life that have been given by you.
न यो युछति तिष्यो यथा दिवो ऽसमे रारन्त मरुतः सहस्रिणम ||	na yo yuchati tiṣyo yathā divo 'sme rāranta marutaḥ sahasriṇam ||	O Maruts, let that wealth in thousands dwell with us which never vanishes like Tisya from the sky.
यूयं रयिम मरुत सपार्हवीरं यूयम रषिम अवथ सामविप्रम |	yūyaṃ rayim maruta spārhavīraṃ yūyam ṛṣim avatha sāmavipram |	14 Maruts, ye further wealth with longedfor heroes, further the Ṛṣi skilled in chanted verses.
यूयम अर्वन्तम भरताय वाजं यूयं धत्थ राजानं शरुष्टिमन्तम ||	yūyam arvantam bharatāya vājaṃ yūyaṃ dhattha rājānaṃ śruṣṭimantam ||	Ye give the Bhārata as his strength, a charger, and ye bestow a king who quickly listens.
तद वो यामि दरविणं सद्यूतयो येना सवर ण ततनाम नॄंर अभि |	tad vo yāmi draviṇaṃ sadyaūtayo yenā svar ṇa tatanāma nṝṃr abhi |	15 Of you, most swift to succour! I solicit wealth wherewith we may spread forth mid men like as the Sun.
इदं सु मे मरुतो हर्यता वचो यस्य तरेम तरसा शतं हिमाः ||	idaṃ su me maruto haryatā vaco yasya tarema tarasā śataṃ himāḥ ||	Accept, O Maruts, graciously this hymn of mine that we may live a hundred winters through its power.

अग्ने शर्धन्तम आ गणम पिष्टं रुक्मेभिर अञ्जिभिः |	aghne śardhantam ā ghaṇam piṣṭaṃ rukmebhir añjibhiḥ |	1. AGNI, that valorous company adorned with ornaments of gold,
विशो अद्य मरुताम अव हवये दिवश चिद रोचनाद अधि ||	viśo adya marutām ava hvaye divaś cid rocanād adhi ||	The people of the Maruts, I call down to-day even from the luminous realm of heaven.
यथा चिन मन्यसे हर्दा तद इन मे जग्मुर आशसः |	yathā cin manyase hṛdā tad in me jaghmur āśasaḥ |	2 Even as thou thinkest in thy heart, thither my wishes also tend.
ये ते नेदिष्ठं हवनान्य आगमन तान वर्ध भीमसंद्र्शः ||	ye te nediṣṭhaṃ havanāny āghaman tān vardha bhīmasaṃdṛśaḥ ||	Those who have come most near to thine invoking calls, strengthen them fearful to behold.
मीळ्हुष्मतीव पर्थिवी पराहता मदन्त्य एत्य अस्मद आ |	mīḷhuṣmatīva pṛthivī parāhatā madanty ety asmad ā |	3 Earth, like a bounteous lady, liberal of her gifts, struck down and shaken, yet exultant, comes to us.
रक्षो न वो मरुतः शिमीवां अमो दुध्रो गौर इव भीमयुः ||	ṛkṣo na vo marutaḥ śimīvāṃ amo dudhro ghaur iva bhīmayuḥ ||	Impetuous as a bear, O Maruts, is youi rush terrible as a dreadful bull..
नि ये रिणन्त्य ओजसा वर्था गावो न दुर्धुरः |	ni ye riṇanty ojasā vṛthā ghāvo na durdhuraḥ |	4 They who with mighty strength o’erthrow like oxen difficult to yoke,
अश्मानं चित सवर्यम पर्वतं गिरिम पर चयावयन्ति यामभिः ||	aśmānaṃ cit svaryam parvataṃ ghirim pra cyāvayanti yāmabhiḥ ||	Cause e’en the heavenly stone to shake ' yea, shake the rocky mountain as they race along.
उत तिष्ठ नूनम एषां सतोमैः समुक्षितानाम |	ut tiṣṭha nūnam eṣāṃ stomaiḥ samukṣitānām |	5 Rise up! even now with lauds I call the very numerous company,
मरुताम पुरुतमम अपूर्व्यं गवां सर्गम इव हवये ||	marutām purutamam apūrvyaṃ ghavāṃ sargham iva hvaye ||	Unequalled, of these Maruts, like a herd of kine, grown up together in their strength.
युङगध्वं हय अरुषी रथे युङगध्वं रथेषु रोहितः |	yuṅghdhvaṃ hy aruṣī rathe yuṅghdhvaṃ ratheṣu rohitaḥ |	6 Bind to your car the bright red mares, yoke the red coursers to your car.
युङगध्वं हरी अजिरा धुरि वोळ्हवे वहिष्ठा धुरि वोळ्हवे ||	yuṅghdhvaṃ harī ajirā dhuri voḷhave vahiṣṭhā dhuri voḷhave ||	Bind to the pole, to draw, the fleet-foot tawny steeds, the best at drawing, to the pole.
उत सय वाज्य अरुषस तुविष्वणिर इह सम धायि दर्शतः |	uta sya vājy aruṣas tuviṣvaṇir iha sma dhāyi darśataḥ |	7 Yea, and this loudly-neighing bright red vigorous horse who hath been sutioned, fair to see,
मा वो यामेषु मरुतश चिरं करत पर तं रथेषु चोदत ||	mā vo yāmeṣu marutaś ciraṃ karat pra taṃ ratheṣu codata ||	Let him not cause delay, O Maruts,, in your course, urge ye him onward in your cars.
रथं नु मारुतं वयं शरवस्युम आ हुवामहे |	rathaṃ nu mārutaṃ vayaṃ śravasyum ā huvāmahe |	8 The Maruts’ chariot, ever fain to gather glory, we invoke,
आ यस्मिन तस्थौ सुरणानि बिभ्रती सचा मरुत्सु रोदसी ||	ā yasmin tasthau suraṇāni bibhratī sacā marutsu rodasī ||	Which Rodasī hath mounted, bringing pleasant gifts, with Maruts in her company.
तं वः शर्धं रथेशुभं तवेषम पनस्युम आ हुवे |	taṃ vaḥ śardhaṃ ratheśubhaṃ tveṣam panasyum ā huve |	9 I call that brilliant band of yours, adorable, rapid on the car
यस्मिन सुजाता सुभगा महीयते सचा मरुत्सु मीळ्हुषी ||	yasmin sujātā subhaghā mahīyate sacā marutsu mīḷhuṣī ||	Whereon the bounteous Dame, auspicious, nobly born, shows glorious with the Marut host.

आ रुद्रास इन्द्रवन्तः सजोषसो हिरण्यरथाः सुविताय गन्तन |	ā rudrāsa indravantaḥ sajoṣaso hiraṇyarathāḥ suvitāya ghantana |	1. OF one accord, with Indra, O ye Rudras, come borne on your golden car for our prosperity.
इयं वो अस्मत परति हर्यते मतिस तर्ष्णजे न दिव उत्सा उदन्यवे ||	iyaṃ vo asmat prati haryate matis tṛṣṇaje na diva utsā udanyave ||	An offering from us, this hymn is brought to you, as, unto one who th irsts for water, heavenly springs.
वाशीमन्त रष्टिमन्तो मनीषिणः सुधन्वान इषुमन्तो निषङगिणः |	vāśīmanta ṛṣṭimanto manīṣiṇaḥ sudhanvāna iṣumanto niṣaṅghiṇaḥ |	2 Armed with your daggers, full of wisdom, armed with spears, armed with your quivers, armed with arrows, with good bows,
सवश्वा सथ सुरथाः पर्श्निमातरः सवायुधा मरुतो याथना शुभम ||	svaśvā stha surathāḥ pṛśnimātaraḥ svāyudhā maruto yāthanā śubham ||	Good horses and good cars have ye, O Pṛśni's Sons: ye, Maruts, with good weapons go to victory.
धूनुथ दयाम पर्वतान दाशुषे वसु नि वो वना जिहते यामनो भिया |	dhūnutha dyām parvatān dāśuṣe vasu ni vo vanā jihate yāmano bhiyā |	3 From hills and heaven ye shake wealth for the worshipper: in terror at your coming low the woods bow down.
कोपयथ पर्थिवीम पर्श्निमातरः शुभे यद उग्राः पर्षतीर अयुग्ध्वम ||	kopayatha pṛthivīm pṛśnimātaraḥ śubhe yad ughrāḥ pṛṣatīr ayughdhvam ||	Ye make the earth to tremble, Sons of Pṛśni, when for victory ye have yoked, fierce Ones! your spotted deer.
वातत्विषो मरुतो वर्षनिर्णिजो यमा इव सुसद्र्शः सुपेशसः |	vātatviṣo maruto varṣanirṇijo yamā iva susadṛśaḥ supeśasaḥ |	4 Bright with the blasts of wind, wrapped in their robes of rain, like twins of noble aspect and of lovely form,
पिशङगाश्वा अरुणाश्वा अरेपसः परत्वक्षसो महिना दयौर इवोरवः ||	piśaṅghāśvā aruṇāśvā arepasaḥ pratvakṣaso mahinā dyaur ivoravaḥ ||	The Maruts, spotless, with steeds tawnyhued and red, strong in their mightiness and spreading wide like heaven.
पुरुद्रप्सा अञ्जिमन्तः सुदानवस तवेषसंद्र्शो अनवभ्रराधसः |	purudrapsā añjimantaḥ sudānavas tveṣasaṃdṛśo anavabhrarādhasaḥ |	5 Rich in adornment, rich in drops, munificent, bright in their aspect, yielding bounties that endure,
सुजातासो जनुषा रुक्मवक्षसो दिवो अर्का अम्र्तं नाम भेजिरे ||	sujātāso januṣā rukmavakṣaso divo arkā amṛtaṃ nāma bhejire ||	Noble by birth, adorned with gold upon their breasts, the Singers of the sky have won immortal fame.
रष्टयो वो मरुतो अंसयोर अधि सह ओजो बाह्वोर वो बलं हितम |	ṛṣṭayo vo maruto aṃsayor adhi saha ojo bāhvor vo balaṃ hitam |	6 Borne on both shoulders, O ye Maruts, are your spears: within your arms is laid your energy and 3trength.
नर्म्णा शीर्षस्व आयुधा रथेषु वो विश्वा वः शरीर अधि तनूषु पिपिशे ||	nṛmṇā śīrṣasv āyudhā ratheṣu vo viśvā vaḥ śrīr adhi tanūṣu pipiśe ||	Bold thoughts are in your heads, your weapons in your cars, all glorious majesty is moulded on your forms.
गोमद अश्वावद रथवत सुवीरं चन्द्रवद राधो मरुतो ददा नः |	ghomad aśvāvad rathavat suvīraṃ candravad rādho maruto dadā naḥ |	7 Vouchsafe to us, O Maruts, splendid bounty in cattle and in steeds, in cars and heroes.
परशस्तिं नः कर्णुत रुद्रियासो भक्षीय वो ऽवसो दैव्यस्य ||	praśastiṃ naḥ kṛṇuta rudriyāso bhakṣīya vo 'vaso daivyasya ||	Children of Rudra, give us high distinction: may I enjoy your Godlike help and favour.
हये नरो मरुतो मर्ळता नस तुवीमघासो अम्र्ता रतज्ञाः |	haye naro maruto mṛḷatā nas tuvīmaghāso amṛtā ṛtajñāḥ |	8 Ho! Maruts, Heroes, skilled in Law, immortal, be gracious unto us, ye rich in treasures,
सत्यश्रुतः कवयो युवानो बर्हद्गिरयो बर्हद उक्षमाणाः ||	satyaśrutaḥ kavayo yuvāno bṛhadghirayo bṛhad ukṣamāṇāḥ ||	Ye hearers of the truth, ye sage and youthful, grown mighty, dwelling on the lofty mountains.

तम उ नूनं तविषीमन्तम एषां सतुषे गणम मारुतं नव्यसीनाम |	tam u nūnaṃ taviṣīmantam eṣāṃ stuṣe ghaṇam mārutaṃ navyasīnām |	1. Now do I glorify their mighty cohort, the company of these the youthful Maruts,
य आश्वश्वा अमवद वहन्त उतेशिरे अम्र्तस्य सवराजः ||	ya āśvaśvā amavad vahanta uteśire amṛtasya svarājaḥ ||	Who ride impetuous on with rapid horses, and radiant in themselves, are Lords of Amṛta.
तवेषं गणं तवसं खादिहस्तं धुनिव्रतम मायिनं दातिवारम |	tveṣaṃ ghaṇaṃ tavasaṃ khādihastaṃ dhunivratam māyinaṃ dātivāram |	2 The mighty glittering band, arm-bound with bracelets, givers of bliss, unmeasured in their greatness,
मयोभुवो ये अमिता महित्वा वन्दस्व विप्र तुविराधसो नॄन ||	mayobhuvo ye amitā mahitvā vandasva vipra tuvirādhaso nṝn ||	With magical powers, bountiful, ever-roaring,—these, liberal Heroes, venerate thou singer.
आ वो यन्तूदवाहासो अद्य वर्ष्टिं ये विश्वे मरुतो जुनन्ति |	ā vo yantūdavāhāso adya vṛṣṭiṃ ye viśve maruto junanti |	3 This day may all your water-bringers, Maruts, they who impel the falling rain, approach us.
अयं यो अग्निर मरुतः समिद्ध एतं जुषध्वं कवयो युवानः ||	ayaṃ yo aghnir marutaḥ samiddha etaṃ juṣadhvaṃ kavayo yuvānaḥ ||	This fire, O Maruts, hath been duly kindled; let it find favour with you, youthful Sages.
यूयं राजानम इर्यं जनाय विभ्वतष्टं जनयथा यजत्राः |	yūyaṃ rājānam iryaṃ janāya vibhvataṣṭaṃ janayathā yajatrāḥ |	4 Ye raise up for the folk an active ruler whom, Holy Ones! a Master's hand hath fashioned.
युष्मद एति मुष्टिहा बाहुजूतो युष्मद सदश्वो मरुतः सुवीरः ||	yuṣmad eti muṣṭihā bāhujūto yuṣmad sadaśvo marutaḥ suvīraḥ ||	Ye send the fighter hand to hand, armmighty, and the brave hero, Maruts with good horses.
अरा इवेद अचरमा अहेव पर-पर जायन्ते अकवा महोभिः |	arā ived acaramā aheva pra-pra jāyante akavā mahobhiḥ |	5 They spring forth more and more, strong in their glories, like days, like spokes where none are last in order.
पर्श्नेः पुत्रा उपमासो रभिष्ठाः सवया मत्या मरुतः सम मिमिक्षुः ||	pṛśneḥ putrā upamāso rabhiṣṭhāḥ svayā matyā marutaḥ sam mimikṣuḥ ||	Highest and mightiest are the Sons of Pṛśni. Firm to their own intention cling the Maruts.
यत परायासिष्ट पर्षतीभिर अश्वैर वीळुपविभिर मरुतो रथेभिः |	yat prāyāsiṣṭa pṛṣatībhir aśvair vīḷupavibhir maruto rathebhiḥ |	6 When ye have hastened on with spotted coursers, O Maruts, on your cars with strong-wrought fellies,
कषोदन्त आपो रिणते वनान्य अवोस्रियो वर्षभः करन्दतु दयौः ||	kṣodanta āpo riṇate vanāny avosriyo vṛṣabhaḥ krandatu dyauḥ ||	The waters are disturbed, the woods are shattered. Let Dyaus the Red Steer send his thunder downward.
परथिष्ट यामन पर्थिवी चिद एषाम भर्तेव गर्भं सवम इच छवो धुः |	prathiṣṭa yāman pṛthivī cid eṣām bharteva gharbhaṃ svam ic chavo dhuḥ |	7 Even Earth hath spread herself wide at their coming, and they as husbands have with power impregned her.
वातान हय अश्वान धुर्य रयुयुज्रे वर्षं सवेदं चक्रिरे रुद्रियासः ||	vātān hy aśvān dhury ṛyuyujre varṣaṃ svedaṃ cakrire rudriyāsaḥ ||	They to the pole have yoked the winds for coursers: their sweat have they made rain, these Sons of Rudra.
हये नरो मरुतो मर्ळता नस तुवीमघासो अम्र्ता रतज्ञाः |	haye naro maruto mṛḷatā nas tuvīmaghāso amṛtā ṛtajñāḥ |	8 Ho! Maruts, Heroes, skilled in Law, immortal, be gracious unto us, ye rich in treasures,
सत्यश्रुतः कवयो युवानो बर्हद्गिरयो बर्हद उक्षमाणाः ||	satyaśrutaḥ kavayo yuvāno bṛhadghirayo bṛhad ukṣamāṇāḥ ||	Ye hearers of the truth, ye sage and youthful, grown mighty, dwelling on the lofty mountains.

पर व सपळ अक्रन सुविताय दावने ऽरचा दिवे पर पर्थिव्या रतम भरे |	pra va spaḷ akran suvitāya dāvane 'rcā dive pra pṛthivyā ṛtam bhare |	1. YOUR spy hath called to you to give prosperity. I sing to Heaven and Earth and offer sacrifice.
उक्षन्ते अश्वान तरुषन्त आ रजो ऽनु सवम भानुं शरथयन्ते अर्णवैः ||	ukṣante aśvān taruṣanta ā rajo 'nu svam bhānuṃ śrathayante arṇavaiḥ ||	They bathe their steeds and hasten through the firmament: they spread abroad their radiance through the sea of cloud.
अमाद एषाम भियसा भूमिर एजति नौर न पूर्णा कषरति वयथिर यती |	amād eṣām bhiyasā bhūmir ejati naur na pūrṇā kṣarati vyathir yatī |	2 Earth shakes and reels in terror at their onward rush, like a full ship which, quivering, lets the water in.
दूरेद्र्शो ये चितयन्त एमभिर अन्तर महे विदथे येतिरे नरः ||	dūredṛśo ye citayanta emabhir antar mahe vidathe yetire naraḥ ||	Marked on their ways are they, visible from afar: the Heroes press between in mighty armament.
गवाम इव शरियसे शर्ङगम उत्तमं सूर्यो न चक्षू रजसो विसर्जने |	ghavām iva śriyase śṛṅgham uttamaṃ sūryo na cakṣū rajaso visarjane |	3 As the exalted horn of bulls for splendid might, as the Sun's eye set in the firmament's expanse,
अत्या इव सुभ्वश चारव सथन मर्या इव शरियसे चेतथा नरः ||	atyā iva subhvaś cārava sthana maryā iva śriyase cetathā naraḥ ||	Like vigorous horses ye are beauteous to behold, and for your glory show like bridegrooms, O ye Men.
को वो महान्ति महताम उद अश्नवत कस काव्या मरुतः को ह पौंस्या |	ko vo mahānti mahatām ud aśnavat kas kāvyā marutaḥ ko ha pauṃsyā |	4 Who, O ye Maruts, may attain the mighty lore of you the mighty, who may reach your manly deeds?
यूयं ह भूमिं किरणं न रेजथ पर यद भरध्वे सुविताय दावने ||	yūyaṃ ha bhūmiṃ kiraṇaṃ na rejatha pra yad bharadhve suvitāya dāvane ||	Ye, verily, make earth tremble like a ray of light what time ye bring your boons to give prosperity,
अश्वा इवेद अरुषासः सबन्धवः शूरा इव परयुधः परोत युयुधुः |	aśvā ived aruṣāsaḥ sabandhavaḥ śūrā iva prayudhaḥ prota yuyudhuḥ |	5 Like steeds of ruddy colour, scions of one race, as foremost champions they have battled in the van.
मर्या इव सुव्र्धो वाव्र्धुर नरः सूर्यस्य चक्षुः पर मिनन्ति वर्ष्टिभिः ||	maryā iva suvṛdho vāvṛdhur naraḥ sūryasya cakṣuḥ pra minanti vṛṣṭibhiḥ ||	The Heroes have waxed strong like we.1grown manly youths; with floods of rain they make the Sun's eye fade away,
ते अज्येष्ठा अकनिष्ठास उद्भिदो ऽमध्यमासो महसा वि वाव्र्धुः |	te ajyeṣṭhā akaniṣṭhāsa udbhido 'madhyamāso mahasā vi vāvṛdhuḥ |	6 Having no eldest and no youngest in their band, no middlomost, preeminent they have waxed in might,
सुजातासो जनुषा पर्श्निमातरो दिवो मर्या आ नो अछा जिगातन ||	sujātāso januṣā pṛśnimātaro divo maryā ā no achā jighātana ||	These Sons of Pṛśni, sprung of noble ancestry: come hitberward to us, ye bridegrooms of the sky.
वयो न ये शरेणीः पप्तुर ओजसान्तान दिवो बर्हतः सानुनस परि |	vayo na ye śreṇīḥ paptur ojasāntān divo bṛhataḥ sānunas pari |	7 Like birds of air they flew with might in lengthened lines from heaven's high ridges to the borders of the sky.
अश्वास एषाम उभये यथा विदुः पर पर्वतस्य नभनूंर अचुच्यवुः ||	aśvāsa eṣām ubhaye yathā viduḥ pra parvatasya nabhanūṃr acucyavuḥ ||	The steeds who carry them, as Gods and mortals know, have caused the waters of the mounuains to desGend.
मिमातु दयौर अदितिर वीतये नः सं दानुचित्रा उषसो यतन्ताम |	mimātu dyaur aditir vītaye naḥ saṃ dānucitrā uṣaso yatantām |	8 May Dyaus, the Infinite, roar for our banquet: may Dawns toil for us, glittering with moisture.
आचुच्यवुर दिव्यं कोशम एत रषे रुद्रस्य मरुतो गर्णानाः ||	ācucyavur divyaṃ kośam eta ṛṣe rudrasya maruto ghṛṇānāḥ ||	Lauded by thee, these Maruts, Sons o Rudra, O Ṛṣi, have sent down the heavenly treasure.

ईळे अग्निं सववसं नमोभिर इह परसत्तो वि चयत कर्तं नः |	īḷe aghniṃ svavasaṃ namobhir iha prasatto vi cayat kṛtaṃ naḥ |	1. I LAUD with reverence the gracious Agni: here may he sit and part our meed among us.
रथैर इव पर भरे वाजयद्भिः परदक्षिणिन मरुतां सतोमम रध्याम ||	rathair iva pra bhare vājayadbhiḥ pradakṣiṇin marutāṃ stomam ṛdhyām ||	As with spoil-seeking cars I bring oblation: turned rightward I will swell the Marut's, praise-song.
आ ये तस्थुः पर्षतीषु शरुतासु सुखेषु रुद्रा मरुतो रथेषु |	ā ye tasthuḥ pṛṣatīṣu śrutāsu sukheṣu rudrā maruto ratheṣu |	2 The Maruts, yea, the Rudras, who have mounted their famous spotted deer and cars swift-moving,—
वना चिद उग्रा जिहते नि वो भिया पर्थिवी चिद रेजते पर्वतश चित ||	vanā cid ughrā jihate ni vo bhiyā pṛthivī cid rejate parvataś cit ||	Before you, fierce Ones! woods bow down in terror: Earth, even the mountain, trembles at your coming.
पर्वतश चिन महि वर्द्धो बिभाय दिवश चित सानु रेजत सवने वः |	parvataś cin mahi vṛddho bibhāya divaś cit sānu rejata svane vaḥ |	3 Though vast and tall, the mountain is affrighted, the height of heaven is shaken at your roaring
यत करीळथ मरुत रष्टिमन्त आप इव सध्र्यञ्चो धवध्वे ||	yat krīḷatha maruta ṛṣṭimanta āpa iva sadhryañco dhavadhve ||	When, armed with lances, ye are sporting, Maruts, and rush along together like the waters.
वरा इवेद रैवतासो हिरण्यैर अभि सवधाभिस तन्वः पिपिश्रे |	varā ived raivatāso hiraṇyair abhi svadhābhis tanvaḥ pipiśre |	4 They, like young suitors, sons of wealthy houses, have with their golden natures decked their bodies.
शरिये शरेयांसस तवसो रथेषु सत्रा महांसि चक्रिरे तनूषु ||	śriye śreyāṃsas tavaso ratheṣu satrā mahāṃsi cakrire tanūṣu ||	Strong on their cars, the lordly Ones, for glory, have set their splendours on their forms for ever.
अज्येष्ठासो अकनिष्ठास एते सम भरातरो वाव्र्धुः सौभगाय |	ajyeṣṭhāso akaniṣṭhāsa ete sam bhrātaro vāvṛdhuḥ saubhaghāya |	5 None being eldest, none among them youngest, as brothers they have grown to happy fortune.
युवा पिता सवपा रुद्र एषां सुदुघा पर्श्निः सुदिना मरुद्भ्यः ||	yuvā pitā svapā rudra eṣāṃ sudughā pṛśniḥ sudinā marudbhyaḥ ||	May their Sire Rudra, young and deft, and Pṛśni pouring much milk, bring fair days to the Maruts.
यद उत्तमे मरुतो मध्यमे वा यद वावमे सुभगासो दिवि षठ |	yad uttame maruto madhyame vā yad vāvame subhaghāso divi ṣṭha |	6 Whether, O blessed Maruts, ye be dwelling in highest, midmost, or in lowest heaven,
अतो नो रुद्रा उत वा नव अस्याग्ने वित्ताद धविषो यद यजाम ||	ato no rudrā uta vā nv asyāghne vittād dhaviṣo yad yajāma ||	Thence, O ye Rudras, and thou also, Agni, notice the sacrificial food we offer.
अग्निश च यन मरुतो विश्ववेदसो दिवो वहध्व उत्तराद अधि षणुभिः |	aghniś ca yan maruto viśvavedaso divo vahadhva uttarād adhi ṣṇubhiḥ |	7 O Maruts, Lords of all, when Agni and when ye drive downward from sublimest heaven along the heights,
ते मन्दसाना धुनयो रिशादसो वामं धत्त यजमानाय सुन्वते ||	te mandasānā dhunayo riśādaso vāmaṃ dhatta yajamānāya sunvate ||	Shakers of all, rejoicing, slayers of the foe, give riches to the Soma-pressing worshipper.
अग्ने मरुद्भिः शुभयद्भिर रक्वभिः सोमम पिब मन्दसानो गणश्रिभिः |	aghne marudbhiḥ śubhayadbhir ṛkvabhiḥ somam piba mandasāno ghaṇaśribhiḥ |	8 O Agni, with the Maruts as they gleam and sing, gathered in troop, rejoicing drink the Soma juice;
