Adhyaya_no	Kandika_no	Text_no	Hymn
3	6	8	. If he has gone to a wife to whom he ought not to go, or if he has performed a sacrifice for a person for whom he ought not to do so, or has eaten forbidden food, or accepted what he ought not to accept, or pushed against a piled-up (fire altar) oragainst a sacrificial post, he should sacrifice two Âgya oblations with (the verses),'May my faculties return into me, may life return, may prosperity return; may my goods return to me; may the divine power return into me. Svâhâ!'These fires that are stationed on the (altars called) Dhishnyâs, may they be here in good order, each on its right place. (Agni) Vaisvânara, grown strong, the standard of immortality, may he govern my mind in my heart. Svâhâ!'
3	6	9	Or (he may sacrifice) two pieces of wood,
3	6	10	Or murmur (the same two verses without any oblation).
3	7	1	If the sun sets while he is sleeping without being sick, he should spend the rest of the night keeping silence, without sitting down, and should worship the sun (when it rises) with the five (verses), 'The light, O sun, by which thou destroyest darkness' .
3	7	2	. If (the sun) rises (while he is sleeping without being sick), being fatigued without having done any work, or having done work that is not becoming, he should keep silence, &c., as before, and perform his worship (to the sun) with the following four .
3	7	3	. Invested with the sacrificial cord, constantly fulfilling the prescribed duties regarding the use ofwater, he should perform the Sandhyâ (or twilight devotion), observing silence.
3	7	4	In the evening he should, turning his face to the north-west, to the region between the chief (west) point and the intermediate (north-western) point (of the horizon), murmur the Sâvitrî, (beginning) when the sun is half set, until the stars appear.
3	7	5	In the same way in the morning—
3	7	6	Standing, with his face turned to the east, until the disk (of the sun) appears.
3	7	7	If a dove flies against his house or towards it, he should sacrifice with (the hymn), 'O gods, the dove' , verse by verse, or should murmur (that hymn).
3	7	8	'We have thee, O Lord of the path' —if he is going out for doing some business.
3	7	9	. 'Bring us together, Pûshan, with a knowing one' —if he wishes to find something lost, or if he has strayed.
3	7	10	'Journey over the ways, Pûshan' —if he is going out on a long or dangerous way.
3	8	1	Now when returning (home from his teacher) he should get the following things, viz. a jewel (to be tied round the neck), two ear-rings, a pair of garments, a parasol, a pair of shoes, a staff, a wreath, (pounded seed of the Karañga fruit) for rubbing with, ointment, eye salve, a turban; (all that) for himself and for the teacher.
3	8	2	If he cannot get it for both, only for the teacher.
3	8	3	He then should get a piece of wood of a tree which is sacrificially pure, in a north-eastern direction—
3	8	4	Sappy (wood) if he wishes for the enjoyment of food, or for prosperity, or for splendour; dry (wood), if for holy lustre,
3	8	5	(Wood) which is both (sappy and dry, in its different parts), if (he wishes) for both.
3	8	6	. Having put the piece of wood on high, and having given a cow and food to the Brâhmanas, he should perform the ceremony of shaving the beard.
3	8	7	. He should alter the texts so that they refer to himself.
3	8	8	. With Ekaklîtaka (he should perform the rubbing).
3	8	9	Having washed himself with lukewarm water, and having put on two (new) garments which have not yet been washed, with (the verse), 'Garments with fat splendour you put on, (Mitra and Varuna)' ; he should anoint his eyes with (the words), 'The sharpness of the stone art thou; protect my eye.'
3	8	10	With (the words), 'The sharpness of the stoneart thou; protect my ear'—he should tie on the two ear-rings.
3	8	11	After having salved his two hands with ointment, a Brâhmana should salve his head first,
3	8	12	A Râganya his two arms,
3	8	13	A Vaisya the belly,
3	8	14	A woman her secret parts,
3	8	15	Persons who gain their livelihood by running, their thighs.
3	8	16	With (the formula), 'Free from pain art thou, free from pain may I become'—he should put on the wreath.
3	8	17	Not (such a wreath) which is called mâlâ.
3	8	18	If they call it mâlâ, he should cause them to call it srag.
3	8	19	With (the formula), 'The standing-places of the gods are you; protect me from all sides'—he steps into the shoes, and with (the formula), 'The heaven's covering art thou'—he takes the parasol.
3	8	20	With (the formula), 'Reed thou art; from the tree thou descendest; protect me from all sides'—(he takes) a staff of reed.
3	8	21	. Having with the hymn 'Giving life' tied the jewel to his neck and arranged the turban (on his head), he should standing put the piece of wood (on the fire).
3	9	1	. (He says), 'Memory and reproach and knowledge, faith, and wisdom as the fifth, what is sacrificed, and what is given, and what is studied, and what is done, truth, learning, vow—'The vow which belongs to Agni together with Indra, with Pragâpati, with the Rishis, with the royal ones among the Rishis, with the Fathers, with the royal ones among the Fathers, with the human beings, with the royal ones among the human beings, with shine, over-shine, after-shine, counter-shine, with gods and men, with Gandharvas and Apsaras, with wild animals and domestic animals,—the vow, belonging to my own self, dwelling in my own self, that is my universal vow. Hereby, O Agni, I become addicted to the universal vow. Svâhâ!'
3	9	2	. With (the hymn), 'Mine, Agni, be vigour' , verse by verse, he should put pieces of wood (on the fire).
3	9	3	. He should pass that night at a place where they will do honour to him.
3	9	4	. When, after having finished his (task of) learning, he has offered something to the teacher, or has received his permission, he should take a bath (which signifies the end of his studentship).
3	9	5	He (i.e. the Snâtaka) has to keep the following observances:
3	9	6	He shall not bathe in the night-time; he shall not bathe naked; he shall not lie down naked; he shall not look at a naked woman, except during sexual intercourse; he shall not run during rain; he shall not climb up a tree; he shall not descend into a well; he shall not swim with his arms across a river; he shall not expose himself to danger. 'A great being indeed is a Snâtaka'—thus it is understood (in the Sruti).
3	10	1	. If (a student) wishes to be dismissed (by his teacher), he should pronounce before the teacher his (i.e. the teacher's?) name—
3	10	2	. (And should say), 'Here we will dwell, sir!'
3	10	3	With a loud voice (the words) following after the name.
3	10	4	'Of inhalation and exhalation'—(this he says) with a low voice,
3	10	5	And (the verse), 'Come hither, Indra, with thy lovely-sounding, fallow-coloured (horses)' .
3	10	6	. The aged one then murmurs, 'To inhalation and exhalation I, the wide-extended one, resort with thee. To the god Savitri I give thee in charge'—and the verse.
3	10	7	When he has finished (that verse), and has muttered, 'Om! Forwards! Blessing!' and recited (over the student the hymn), 'The great bliss of the three' —(he should dismiss him).
3	10	8	On one who has been thus dismissed, danger comes from no side—thus it is understood (in the Sruti).
3	10	9	If he hears (on his way) disagreeable voices of birds, he should murmur the two hymns, 'Shrieking, manifesting his being' , and (the verse), 'The divine voice have the gods created' .
3	10	10	'Praise the renowned youth who sits on the war-chariot' —if (he hears disagreeable voices) of deer.
3	10	11	From the direction, or from the (being) from which he expects danger, towards that direction he should throw a fire-brand, burning on both sides, or having twirled about a churning-stick from the right to the left, with (the words), 'Safety be to me, Mitraand Varuna; encounter the foes and burn them up with your flame. May they find none who knows them and no support; divided by discord may they go to death'—
3	10	12	He turns the churning-stick downwards with (the verse), 'The combined wealth of both, heaped together' .
3	11	1	. If unknown danger from all sides (menaces him), he should sacrifice eight Âgya oblations with (the formulas),'Prithivî (the earth) is covered; she is covered by Agni. By her, the covered one, the covering one, I ward off the danger of which I am in fear. Svâhâ!'Antariksha (the air) is covered; it is covered by Vâyu. By it, the covered, the covering, I ward off the danger of which I am in fear. Svâhâ!'Dyaus (the heaven) is covered; she is covered by Âditya (the sun). By her, &c.'The quarters (of the horizon) are covered; they are covered by Kandramas (the moon). By them, &c.'The waters are covered; they are covered by Varuna. By them, &c.'The creatures are covered; they are covered by Prâna (the breath). By them, &c.'The Vedas are covered; they are covered by the metres. By them, &c.'All is covered; it is covered by Brahman. By it, &c. Svâhâ!'
3	11	2	. Then, stationing himself towards the north, east, he murmurs the Svasti-Âtreya and, 'Of what we are in fear, Indra' , down to the end of the hymn.
3	12	1	When a battle is beginning, (the royal Purohita) should cause the king to put on his armour (in the following way).
3	12	2	. (The Purohita) stations himself to the west of (the king's) chariot with (the hymn?), 'I have brought thee hither; be here' .
3	12	3	With (the verse), 'Like a thunder-cloud is his countenance' , he should tender the coat of mail to him.
3	12	4	With the following (verse) the bow.
3	12	5	The following (verse) he should cause him to repeat.
3	12	6	He should murmur himself the fourth.
3	12	7	With the fifth he should tender the quiver to him.
3	12	8	When (the king) starts, the sixth.
3	12	9	The seventh (he recites) over the horses.
3	12	10	The eighth he should cause (the king) to repeat while looking at the arrows;
3	12	11	(The verse), 'Like a serpent it encircles the arm with its windings' , when he ties to his arm the leather (by which the arm is protected against the bow-string).
3	12	12	. He then mounts up to (the king on his chariot), while he is driving, and causes him to repeat the Abhîvarta hymn  and the two verses, 'He who, Mitra and Varuna' .
3	12	13	. He then should look at him with the Apratiratha, Sâsa, and Sauparna hymns.
3	12	14	. The Sauparna is (the hymn), 'May the streams of honey and ghee flow forwards.'
3	12	15	(The king) should drive (in his chariot successively) to all quarters (of the horizon).
3	12	16	He should commence the battle in the line of battle invented by Âditya or by Usanas.
3	12	17	. He should touch the drum with the three verses, 'Fill earth and heaven with thy roar' .
3	12	18	With (the verse), 'Shot off fall down' , he should shoot off the arrows.
3	12	19	. 'Where the arrows fly' —this (verse) he should murmur while they are fighting.
3	12	20	Or he should teach (the king the texts mentioned). Or he should teach (the king).End of the Third Adhyâya.
4	1	1	. If disease befalls one who has set up the (sacred Srauta) fires, he should leave his home (and go away) to the eastern, or northern, or north-eastern direction.
4	1	2	'The sacred fires are fond of the village'—thus it is said.
4	1	3	. Longing for it, desirous of returning to the village they might restore him to health-thus it is understood (in the Sruti).
4	1	4	. Being restored to health, he should offer a Soma sacrifice, or an animal sacrifice, or an ordinary sacrifice, and take his dwelling (again in the village).
4	1	5	. Or without such a sacrifice.
4	1	6	If he dies, one should have a piece of ground dug up to the south-east or to the south-west—
4	1	7	At a place which is inclined towards the south or towards the south-east.
4	1	8	According to some (teachers), inclined towards south-west.
4	1	9	(The piece of ground dug up should be) of the length of a man with upraised arms,
4	1	10	Of the breadth of one Vyâma (fathom),
4	1	11	Of the depth of one Vitasti (span).
4	1	12	. The cemetery should be free from all sides.
4	1	13	It should be fertile in herbs.
4	1	14	. But plants with thorns and with milky juice, &c., as stated above.
4	1	15	. From which the waters flow off to all sides: this is a characteristic required for the cemetery (smasâna) where the body is to be burned.
4	1	16	. 'They cut off (from the dead body) the hair, the beard, the hairs of the body, and the nails'—this has been stated above.
4	1	17	. (They should provide) plenty of sacrificial grass and of butter.
4	1	18	. They here pour clarified butter into curds.
4	1	19	This is the 'sprinkled butter' used for the Fathers (i.e. Manes).
4	2	1	. (The relations of the dead person) now carry (his sacred) fires and (his) sacrificial vessels in that direction.
4	2	2	After them aged persons forming an odd number, men and women not going together, (carry) the dead body.
4	2	3	Some (say) that (the dead body should be carried) in a cart with a seat, drawn by cows.
4	2	4	. (Some prescribe) a she-animal for covering (the dead body with its limbs):
4	2	5	A cow,
4	2	6	Or a she-goat of one colour.
4	2	7	Some (take) a black one.
4	2	8	They tie (a rope) to its left fore-foot and lead it behind (the dead body).
4	2	9	Then follow the relations (of the dead person), wearing their sacrificial cords below (round their body), with the hair-locks untied, the older fines first, the younger ones last.
4	2	10	. When they have thus arrived at the place, the performer (of the rites) walks three times round the spot with his left side turned towards it, and with a Samî branch sprinkles water on it, with (the verse), 'Go away, withdraw, and depart from here' .
4	2	11	To the south-east, on an elevated corner (of that place), he places the Âhavanîya fire,
4	2	12	. To the north-west the Gârhapatya fire,
4	2	13	To the south-west the Dakshina fire.
4	2	14	. After that a person that knows (how to do it), piles up between the fires a pile of fuel.
4	2	15	After sacrificial grass and a black antelope's skin with the hair outside has been spread out there, they place the dead body thereon, which they have carried so as to pass by the Gârhapatya fire on its north-side, turning its head towards the Âhavanîya.
4	2	16	. To the north (of the body they place) the wife (of the deceased),
4	2	17	And a bow for a Kshatriya.
4	2	18	. Her brother-in-law, being a representative of her husband, or a pupil (of her husband), or an aged servant, should cause her to rise (from that place) with (the verse), 'Arise, O wife, to the world of life' .
4	2	19	. The performer (of the rites) should murmur (that verse), if a Sûdra (makes her rise from the pile).
4	2	20	With (the verse), 'Taking the bow out of the hand of the deceased' , (he takes away) the bow.
4	2	21	It has been stated (what is to be done) in case a Sûdra (should perform this act).
4	2	22	. Having bent the bow, he should, before the piling up (of the things mentioned below, which are put on the dead body) is done, break it to pieces, and throw it (on the pile).
4	3	1	. He should then put the following (sacrificial) implements (on the dead body).
4	3	2	Into the right hand the (spoon called) Guhû.
4	3	3	Into the left the (other spoon called) Upabhrit.
4	3	4	On his right side the (wooden sacrificial sword called) Sphya, on his left (side) the Agnihotrahavanî (i.e. the ladle with which the Agnihotra oblations are sacrificed).
4	3	5	On his chest the (big sacrificial ladle called) Dhruvâ. On his head the dishes. On his teeth the pressing-stones.
4	3	6	On the two sides of his nose the two (smaller sacrificial ladles called) Sruvas.
4	3	7	Or, if there is only one (Sruva), breaking it (in two pieces).
4	3	8	. On his two ears the two Prâsitraharanas (i.e. the vessels into which the portion of the sacrificial food belonging to the Brahman is put).
4	3	9	Or, if there is only one (Prâsitraharana), breaking it (in two pieces).
4	3	10	On his belly the (vessel called) Pâtrî,
4	3	11	And the cup into which the cut-off portions (of the sacrificial food) are put.
4	3	12	On his secret parts the (staff called) Samyâ.
4	3	13	On his thighs the two kindling woods.
4	3	14	On his legs the mortar and the pestle.
4	3	15	On his feet the two baskets.
4	3	16	Or, if there is only one (basket), tearing it (in two pieces).
4	3	17	. Those (of the implements) which have a hollow (into which liquids can be poured), are filled with sprinkled butter.
4	3	18	The son (of the deceased person) should take the under and the upper mill-stone for himself.
4	3	19	. And the implements made of copper, iron, and earthenware.
4	3	20	. Taking out the omentum of the she-animal he should cover therewith the head and the mouth (of the dead person) with the verse, 'Put on the armour (which will protect thee) against Agni, by (that which comes from) the cows' .
4	3	21	Taking out the kidneys (of the animal) he should lay them into the hands (of the dead body) with the verse, 'Escape the two hounds, the sons of Saramâ' , the right (kidney) into the right (hand), the left into the left.
4	3	22	The heart (of the animal he puts) on the heart (of the deceased).
4	3	23	. And two lumps (of flour or rice), according to some (teachers).
4	3	24	. (Only) if there are no kidneys, according to some (teachers).
4	3	25	. Having distributed the whole (animal), limb by limb (placing its different limbs on the corresponding limbs of the deceased), and having covered it with its hide, he recites, when the Pranîta water is carried forward, (the verse), 'Agni, do not overturn this cup' .
4	3	26	Bending his left knee he should sacrifice Âgya oblations into the Dakshina fire with (the formulas), 'To Agni svâhâ! To Kâma svâhâ! To the world svâhâ! To Anumati svâhâ!'
4	3	27	. A fifth (oblation) on the chest of the deceased with (the formula), 'From this one verily thou hast been born. May he now be born out of thee, N.N.! To the heaven-world svâhâ!'
4	4	1	He gives order, 'Light the fires together.'
4	4	2	. If the Âhavanîya fire reaches (the body) first, he should know, 'It has reached him in the heaven-world. He will live there in prosperity, and so will this one, i.e. his son, in this world.'
4	4	3	. If the Gârhapatya fire reaches (the body) first, he should know, 'It has reached him in the air-world. He will live there in prosperity, and so will this one, i.e. his son, in this world.'
4	4	4	. If the Dakshina fire reaches (the body) first, he should know, 'It has reached him in the world of men. He will live there in prosperity, and so will this one, i.e. his son, in this world.'
4	4	5	. If (the three fires) reach (the body) in the same moment, they say that this signifies the highest luck.
4	4	6	. While (the body) is burning, he recites over it the same texts, 'Go on, go on, on the ancient paths' .
4	4	7	Being burnt by a person who knows this, he goes to the heaven-world together with the smoke (of the funeral pile)—thus it is understood (in the Sruti).
4	4	8	. To the north-east of the Âhavanîya fire he should have a knee-deep pit dug and should have an Avakâ, i.e. (the water-plant called) Sîpâla put down into it. From that (pit) he (i.e. the deceased) goes out and together with the smoke he goes up to the heaven-world—thus it is understood (in the Sruti).
4	4	9	After he has recited (the verse), 'These living ones have separated from the dead' , they turn round from right to left and go away without looking back.
4	4	10	. When they have come to a place where standing water is, having once (plunged into it and) emergedfrom it, they pour out one handful (of water), pronounce the Gotra name and the proper name (of the deceased), go out (of the water), put on other garments, wring out (the old garments) once, lay them away with their skirts to the north, and sit down until the stars appear.
4	4	11	Or they may enter (their houses), when still (a part) of the sun-disk is seen,
4	4	12	. The younger ones first, the older ones last.
4	4	13	When they have come to the houses, they touch a stone, the fire, cow's dung, fried barley, sesamum seeds, and water.
4	4	14	Let them not cook food during that night.
4	4	15	. Let them subsist on bought or ready-made food.
4	4	16	Let them eat no saline food for three nights.
4	4	17	. Let them optionally for twelve nights avoid the distribution of gifts and the study (of Vedic texts), if one of the chief Gurus (has died).
4	4	18	. Ten days after (the death of) Sapindas,
4	4	19	And of a Guru who is no Sapinda,
4	4	20	And of unmarried female relations.
4	4	21	. Three nights after (the death of) other teachers,
4	4	22	And of a relation who is no Sapinda,
4	4	23	And of married female relations,
4	4	24	Of a child that has no teeth,
4	4	25	And of a dead-born child.
4	4	26	One day, after (the death of) a fellow-pupil,
4	4	27	And of a Srotriya of the same village.
4	5	1	. The gathering (of the bones is performed) after the tenth (Tithi from the death), (on a Tithi) with an odd number, of the dark fortnight, under a single Nakshatra.
4	5	2	. A man into a male urn without special marks, a woman into a female one without special marks.
4	5	3	. Aged persons of an odd number, not men and women together (gather the bones).
4	5	4	. The performer of the ceremony walks three times round the spot with his left side turned towardsit, and sprinkles on it with a Samî branch milk mixed with water, with the verse, 'O cool one, O thou that art full of coolness' .
4	5	5	With the thumb and the fourth finger they should put each single bone (into the, urn) without making a noise,
4	5	6	The feet first, the head last.
4	5	7	. Having well gathered them and purified them with a winnowing basket, they should put (the urn) into a pit, at a place where the waters from the different sides do not flow together, except rain water, with (the verse), 'Go to thy mother Earth there' .
4	5	8	With the following (verse) he should throw earth (into the pit).
4	5	9	After he has done so, (he should repeat) the following (verse).
4	5	10	. Having covered (the urn) with a lid with (the verse), 'I fasten to thee' , they then should go away without looking back, should bathe in water, and perform a Srâddha for the deceased.
4	6	1	They who have lost a Guru by death, or are afflicted by other misfortune, should perform on the new-moon day an expiatory ceremony.
4	6	2	. Before sunrise they should carry their firetogether with its ashes and with its receptacle to the south with the half-verse, 'I send far away the flesh-devouring Agni' .
4	6	3	. Having thrown that (fire) down at a place where four roads meet or somewhere else, they walk round it three times, turning their left sides towards it, beating their left thighs with their left hands.
4	6	4	They then should return home without looking back, bathe in water, have their hair, their beards the hair of their bodies, and their nails cut, and furnish themselves with new jars, pots, vessels for rinsing the mouth, wreathed with garlands of Samî flowers, with fuel of Samî wood, with two pieces of Samî wood for kindling fire, and with branches to be laid round the fire, with bull's dung and a bull's hide, fresh butter, a stone, and as many bunches of Kusa grass as there are young women (in the house).
4	6	5	. At the time of the Agni(-hotra) he should kindle fire with the hemistich, 'Here may this other Gâtavedas' .
4	6	6	Keeping that (fire) burning, they sit till the silence of the night, repeating the tales of the aged, and getting stories of auspicious contents, Itihâsas and Purânas, told to them.
4	6	7	. When all sounds have ceased, or when (the others) have gone to the house or the resting-place, (the performer of the ceremony) should pour out an uninterrupted stream of water, beginning at the south side of the door, with (the verse), 'Spinning the thread follow the light of the aerial space' , (going round the house), ending at the north side of the door.
4	6	8	. Having then given its place to the fire, and having spread to the west of it a bull's hide with the neck to the east, with the hair outside, he should cause the people belonging to the house to step on that (hide) with (the verse), 'Arise to long life, choosing old age' .
4	6	9	With (the verse), 'This I lay round the living' , he should lay branches round (the fire).
4	6	10	. After having with (the words), 'A mountain (i.e. a stone) they shall place between themselves and death,' placed a stone to the north of the fire, and having sacrificed with the four (verses), 'Go hence, O death, on another way' ,verse by verse, he should look at his people with (the verse), 'As the days follow each other' .
4	6	11	The young women (belonging to the house) should, with each hand separately, with their thumbs and fourth fingers, with young Darbha blades, salve their eyes with fresh butter, and throw (the Darbha blades) away, turning their faces away.
4	6	12	(The performer of the ceremony) should look at them, while they are salving themselves, with (the verse), 'These women, being no widows, having noble husbands' .
4	6	13	With (the verse), 'Carrying stones, (the river) streams forward; take hold of each other' —the performer (of the ceremony) first should touch the stone.
4	6	14	After that, stationing himself to the northeast, while (the others) go round with the fire, with bull's dung, and with an uninterrupted stream of water, repeating the three verses, 'O waters, ye are wholesome' , he should murmur the verse, 'These have led round the cow' .
4	6	15	A tawny-coloured bull should he lead round—thus they say.
4	6	16	They then sit down at a place where they intend to tarry, having put on garments that have not yet been washed.
4	6	17	(There) they sit, avoiding to sleep, till sunrise.
4	6	18	. After sunrise, having murmured the hymns sacred to the sun and the auspicious hymns, havingprepared food, having made oblations with (the hymn), 'May he drive evil away from us with his shine' , verse by verse, having given to the Brâhmanas to eat, he should cause (them) to pronounce auspicious words.
4	6	19	A cow, a cup of metal, and a garment that has not yet been washed, constitute the sacrificial fee.
4	7	1	. Now at a Srâddha ceremony, at that which is celebrated on the Parvan day, or for the attainment of special wishes, or at the Âbhyudayika Srâddha (i.e. the Srâddha celebrated when some good luck has happened), or at the Ekoddishta Srâddha (the Srâddha directed to a single dead person)—
4	7	2	He causes Brâhmanas who are endowed with learning, moral character, and correct conduct, or with one of these (characteristics), who have been invited in time, who have taken a bath, washed their feet, and sipped water, to sit down, as representatives of the Fathers, with their faces turned to the north, one for each one of the Fathers, or two for each, or three for each.
4	7	3	The larger their number is, the greater is the reward (which the sacrificer is entitled to expect).
4	7	4	But in no case one (Brâhmana) for all (the fathers).
4	7	5	. Optionally (he may invite only one Brâhmana) except at the first (Srâddha).
4	7	6	. By (the exposition of) the Pinda sacrifice (the corresponding rules) have been declared (for the Srâddha ceremonies also).
4	7	7	Having given water (to the Brâhmanas),
4	7	8	. Having given to them double-folded Darbha blades, and a seat,
4	7	9	. Having (again) given water (to them),
4	7	10	Having poured water into three vessels of metal, of stone, and of earthen-ware, or (into three vessels) made of the same substance, over which he has put Darbha grass,And having recited over (that water the verse), 'For luck and help the divine waters' , he pours sesamum seeds into it with (the formula), 'Sesamum art thou; Soma is thy deity; at the Gosava sacrifice thou hast been created bythe gods. By the ancients thou hast been offered. Through the funeral oblation render the Fathers and these worlds propitious to us. Svadhâ! Adoration!'
4	7	12	. (The different rites are performed) from the right to the left.
4	7	13	. With (the part) of the other (i.e. left) hand between the thumb (and the fore-finger), because he wears the sacrificial cord over his left shoulder, or with the right hand which he seizes with the left (he offers the Arghya water to the Fathers with the words), 'Father, this is thy Arghya. Grandfather, this is thy Arghya. Great-grandfather, this is thy Arghya'—having first offered (ordinary) water (to the Fathers).
4	7	14	When he is going to hand over that (Arghya water to the Brâhmanas who represent the Fathers, he says once each time), 'Svadhâ! The Arghya water!'
4	7	15	. Over (the Arghya water) which has beenpoured out, he should recite the verse, 'The celestial waters which have been produced on the earth, the aerial waters and the waters which are terrestrial, the gold-coloured ones, apt for sacrifice, may these waters bring us luck and be kind to us.' Pouring together what has been left (in the three Arghya vessels) he moistens his face with that water, if he desires that a son should be born to him.
4	7	16	. 'He should not take up the first vessel, into which the Arghya water for the Fathers has been poured. Hidden the Fathers dwell therein: thus Saunaka has said.'
4	7	17	. In that moment the gifts of perfumes, garlands, incense, lights, and clothes are offered (to the Brâhmanas).
4	7	18	Having taken some food (of the Sthâlîpâka prepared for the Pindapitriyagña), and having besmeared it with ghee, he asks (the Brâhmanas) for their permission by saying, 'I shall offer it in the fire,' or, 'I will sacrifice my offering in the fire,' or, 'I will offer it in the fire.'
4	7	19	The permission (is given in the words), 'It may be offered,' or, 'Sacrifice thy offering,' or, Offer it.'
4	7	20	. He then sacrifices in the fire as stated above,
4	7	21	. Or, if they give their permission, in the hands (of the Brâhmanas).
4	7	22	'The mouth of the gods verily is the fire, the mouth of the Fathers is the hand'—thus says the Brâhmana.
4	7	23	If in the hands, he assigns to them other food, after they have sipped water.
4	7	24	. The food (is put together) with the food.
4	7	25	. It is said, 'What is given away and offered, that brings prosperity.'
4	7	26	. When he sees that they are satiated, he should recite (the verses) containing the word m a dh u, and (the verse), 'They have eaten, they have enjoyed themselves' .
4	7	27	. Having asked them, 'Relished?' and having taken the food, whatever food he has used, together with the Sthâlîpâka, in order to make lumps thereof, he should offer the rest (to the Brâhmanas).
4	7	28	After they have either accepted (that rest of food), or left it (to him), and have finished eating, he should, before they have sipped water, put down the lumps for the Fathers.
4	7	29	After they have sipped water, according to some (teachers).
4	7	30	. Having strewn the food on the ground and suspended the sacrificial cord over his left shoulder, he should dismiss the Brâhmanas, (saying to them), 'Say Om! Svadhâ!'
4	7	31	Or, 'So be it! Svadhâ!'
4	8	1	. Now the spit-ox (sacrificed to Rudra).
4	8	2	In autumn or in spring, under the (Nakshatra) Ârdrâ.
4	8	3	The best of his herd,
4	8	4	(An ox) which is neither leprous nor speckled;
4	8	5	. One with black spots, according to some;
4	8	6	If he likes, a black one, if its colour inclines to copper-colour.
4	8	7	He sprinkles it with water, into which he has thrown rice and barley,
4	8	8	From head to tail,
4	8	9	With (the formula), 'Grow up, agreeable to Rudra the great god.'
4	8	10	. He should let it grow up. When it has cut its teeth, or when it has become a bull—
4	8	11	. To a quarter (of the horizon) which is sacrificially pure,
4	8	12	At a place which cannot be seen from the village,
4	8	13	After midnight,
4	8	14	According to some, after sunrise.
4	8	15	. Having caused a Brahman who is versed in learning and knows the practice (of this sacrifice), to sit down, having driven a fresh branch with leaves into the ground as a sacrificial post, (having taken) two creeping plants or two Kusa ropes as two girdles, and having wound the one round the sacrificial post, and tied the other round the middle of the animal's head, he binds it to the sacrificial post or to the girdle (which he had tied to that post) with (the formula), 'Agreeable to him to whom adoration (is brought), I bind thee.'
4	8	16	. The sprinkling with water and what follows is the same as at the animal sacrifice.
4	8	17	We shall state what is different.
4	8	18	Let him sacrifice the omentum with the Pâtrî or with a leaf—thus it is understood (in the Sruti)—
4	8	19	With (the formulas), 'To Hara, Mrida, Sarva, Siva, Bhava, Mahâdeva, Ugra, Bhîma, Pasupati, Rudra, Saṅkara, Îsâna svâhâ!'
4	8	20	Or with the last six (parts of that formula),
4	8	21	Or with (the formula), 'To Rudra svâhâ!'
4	8	22	. Let him make Bali offerings towards the four quarters (of the horizon), to each on four rings of Kusa net-work, with (the formulas), 'The hosts, Rudra, which thou hast towards the eastern direction,to them this (offering is brought). Adoration to thee! Do no harm to me!' In this way the assigning (of the offerings is performed) according to the different quarters (of the horizon).
4	8	23	With the following four hymns he should worship the four quarters, viz. 'What shall we to Rudra,' 'These prayers to Rudra,' 'To thee, O father,' 'These songs to Rudra with the strong bow' .
4	8	24	(This) worship to the quarters (of the horizon) (is performed) at all sacrifices to Rudra.
4	8	25	The husks and chaff (of the rice), the tail, the skin, the head, the feet (of the sacrificial animal) he should throw into the fire.
4	8	26	. He should turn the skin to some use, according to Sâmvatya.
4	8	27	. To the north of the fire, on rows of Darbha grass, or on rings of Kusa net-work, he should pour out the blood (of the sacrificial animal) with (the formula), 'Hissing ones! Noisy ones! Searching ones! Seizing ones! Serpents! What here belongs to you, take that.'
4	8	28	Then, turning to the north, (he assigns it) to the serpents (in the words), 'Hissing ones! Noisy ones! Searching ones! Seizing ones! Serpents! What here belongs to you, take that.'Then the serpents take whatever has flowed down there of blood or of the contents of stomach and entrails.
4	8	29	All names, all hosts, all exaltations belongto him;—to a sacrificer who knows that, he gives joy.
4	8	30	Even to a man who only with words sets forth (some part) of that (ceremony), he will do no harm; thus it is understood (in the Sruti).
4	8	31	He should not partake of that (sacrifice).
4	8	32	. They should not take anything belonging to it into the village. For this god will do harm to (human) creatures.
4	8	33	He should keep away his people from the vicinity (of the place where he has sacrificed).
4	8	34	On an express injunction, however, he should partake (of that sacrificial food), for it will bring luck.
4	8	35	This spit-ox sacrifice procures wealth, (open) space, purity, sons, cattle, long life, splendour.
4	8	36	. After he has sacrificed, he should let loose another (animal).
4	8	37	He should not be without such an animal.
4	8	38	Then he will not be without cattle—thus it is understood (in the Sruti).
4	8	39	. Muttering the Santâtîya hymn, he should go to his house.
4	8	40	If disease befalls his cattle, he should sacrifice to that same god in the midst of his cow-stable—
4	8	41	A mess of cooked food, which he sacrifices in its entirety.
4	8	42	Having thrown the sacrificial grass and the Âgya into the fire, he should lead his cows through the smoke.
4	8	43	Murmuring the Santâtîya hymn, he should go in the midst of his cattle.
4	8	44	Adoration to Saunaka! Adoration to Saunaka!End of the Fourth Adhyâya.End of the Âsvalâyana-Grihya-sûtra.
