Pransa_no	PATALA_no	Section_no	Text_no	Hymn
1	7	23	11	In the fourth night, towards morning, he puts wood on the fire, performs the (regular) ceremonies down to the (regular) expiatory oblations, and sacrifices nine expiatory oblations (with the following Mantras):
1	7	24	1	'Agni! Expiation! Thou art expiation. I, the Brâhmana, entreat thee, desirous of protection. What is terrible in her, drive that away from here. Svâhâ!'Vâyu! Expiation! Thou art expiation. I, the Brâhmana, entreat thee, desirous of protection. What is blameful in her, drive that away from here. Svâhâ!'Sun! Expiation! Thou art expiation. I, the Brâhmana, entreat thee, desirous of protection. What dwells in her that is death-bringing to her husband, drive that away from here. Svâhâ!'Sun! Expiation! &c.'Vâyu! Expiation! &c.'Agni! Expiation! &c.'Agni! Expiation! &c.'Vâyu! Expiation! &c.'Sun! Expiation! &c.'
1	7	24	2	Having sacrificed (these oblations), he then pours the remainder as an oblation on her head, with (the formulas), 'Bhûh! I sacrifice fortune over thee. Svâhâ! Bhuvah! I sacrifice glory over thee. Svâhâ! Suvah! I sacrifice beauty over thee. Svâhâ! Bhûr bhuvah suvah! I sacrifice brightness over thee. Svâhâ!'
1	7	24	3	There (near the sacrificial fire) he places a water-pot, walks round the fire (and that water-pot) keeping his right side turned towards it, makes (the wife) lie down to the west of the fire, facing east or north, and touches her secret parts, with (the formula), 'We touch thee with the five-forked, auspicious, unhostile (?), thousandfoldly blessed, glorious hand that thou mayst be rich in offspring!'
1	7	24	4	He then cohabits with her with (the formula), 'United is our soul, united our hearts, united our navel, united our skin. I will bind thee with the bond of love; that shall be insoluble.'
1	7	24	5	He then embraces her with (the formula), 'Be devoted to me; be my companion. What dwells in thee that is death-bringing to thy husband, that I make death-bringing to thy paramours. Bring luck to me; be a sharp-cutting (destroyer) to thy paramours.'
1	7	24	6	He then seeks her mouth with his mouth, with (the two verses), 'Honey! Lo! Honey! This is honey! my tongue's speech is honey; in my mouth dwells the honey of the bee; on my teeth dwells concord.'The (magic charm of) concord that belongs to the kakravâka birds, that is brought out of therivers, of which the divine Gandharva is possessed, thereby we are concordant.'
1	7	24	7	A woman that has her monthly courses, keeps through a period of three nights the observances prescribed in the Brâhmana.
1	7	24	8	In the fourth night (the husband) having sipped water, calls (the wife) who has taken a bath, who wears a clean dress and ornaments, and has spoken with a Brâhmana, to himself (with the following verses):
1	7	25	1	(a) 'May Vishnu make thy womb ready; may Tvashtri frame the shape (of the child); may Pragâpati pour forth (the sperm); may Dhâtri give thee conception!(b) 'Give conception, Sinîvâlî; give conception, Sarasvatî! May the two Asvins, wreathed with lotus, give conception to thee!(c) 'The embryo which the two Asvins produce with their golden kindling-sticks: that embryo we call into thy womb, that thou mayst give birth to it after ten months.(d)  'As the earth is pregnant with Agni, as the heaven is with Indra pregnant, as Vâyu dwells in the womb of the regions (of the earth), thus I place an embryo into thy womb.(e) 'Open thy womb; take in the sperm; may a male child, an embryo be begotten in the womb. The mother bears him ten months; may he be born, the most valiant of his kin.(f) 'May a male embryo enter thy womb, as an arrow the quiver; may a man be born here, thy son, after ten months.(g)  'I do with thee (the work) that is sacred to Pragâpati; may an embryo enter thy womb. May a child be born without deficiency, with all its limbs, not blind, not lame, not sucked out by Pisâkas.(h)  'By the superior powers which the bulls shall produce for us, thereby become thou pregnant; may he be born, the most valiant of his kin.(i)  'Indra has laid down in the tree the embryo of the sterile cow and of the cow that prematurely produces; thereby become thou pregnant; be a well-breeding cow'—And (besides with the two Mantras), 'United are our names' , and, 'The concord of the kakravâka birds' .
1	7	25	2	(He should cohabit with her with the formulas), 'Bhûh! Through Pragâpati, the highest bull, I pour forth (the sperm); conceive a valiant son, N.N.! Bhuvah! Through Pragâpati, &c.—Suvah! Through Pragâpati, &c.' Thus he will gain a valiant son.
1	7	25	3	The Mantras ought to be repeated whenever they cohabit, according to Âtreya,
1	7	25	4	Only the first time and after her monthly courses, according to Bâdarâyana.
1	7	26	1	The fire which (the sacrificer keeps) from the time of his marriage, is called the Aupâsana (or sacred domestic fire)
1	7	26	2	With this fire the sacred domestic ceremonies are performed.
1	7	26	3	On account of his worship devoted to this (fire the sacrificer) is considered as an Âhitâgni (i.e. as one who has set up the Srauta fires), and on account of his fortnightly Karu sacrifices (on the days of the new and full moon) as one who offers the sacrifices of the new and full moon (as prescribed in the Srauta ritual); so (is it taught).
1	7	26	4	If (the service at the domestic fire) has been interrupted for twelve days, the sacrificer ought to set the fire up again.
1	7	26	5	Or he should count all the sacrifices (that have been left out), and should offer them.
1	7	26	6	(The punarâdhâna or repeated setting up of the fire is performed in the following way): in an enclosed space, having raised (the surface), sprinkled it (with water), strewn it with sand, and covered it with Udumbara or Plaksha branches, he silently brings together the things belonging to (the sacrifice) according as he is able to get them, produces fire by attrition out of a sacrificially pure piece of wood, or gets a common fire, places it in a big vessel, sets it in a blaze, and puts (fuel) on it with the words, 'Bhûh! Bhuvah! Suvah! Om! Fixity!'
1	7	26	7	He then puts wood on the fire, performs (the rites) down to the Vyâhriti oblations, and offers two 'mindâ oblations' (i.e. oblations for making up for defects) with (the two Mantras), 'If a defect (mindâ) has arisen in me,' (and), 'Agni has given me back my eye' .
1	7	26	8	He offers three 'tantu oblations' with (the Mantras), 'Stretching the weft (tantu)' , 'Awake, Agni!' , 'The thirty-three threads of the weft' .
1	7	26	9	He offers four 'abhyâvartin oblations' with (the Mantras), 'Agni who turns to us (abhyâvartin)!' 'Agni Aṅgiras!' 'Again with sap,' 'With wealth' .
1	7	26	10	Having made oblations with the single Vyâhritis and with (the three Vyâhritis together), and having made an oblation with the verse, 'Thou art quick, Agni, and free from imprecation. Verily (satyam) thou art quick. Held by us in our quick mind (manas), with thy quick (mind) thou carriest the offering (to the gods). Being quick bestow medicine on us! Svâhâ!'—this (last) oblation contains an allusion to the mind (manas), it refers to Pragâpati, and alludes to the number seven (?),—he quickly repeats in his mind the dasahotri formula . Then he makes the sagraha oblation (?); (then follow theoblations), 'This, O Varuna' . Then he serves food to the Brâhmanas and causes them to say, 'An auspicious day! Hail! Good luck!' he then performs in the known way the sacrifice of a mess of cooked food to Agni.
1	7	26	11	Here he gives an optional gift to his Guru: a pair of clothes, a milch cow, or a bull.
1	7	26	12	If he sets out on a journey, he makes the fire enter himself or the two kindling-sticks in the way that has been described (in the Srauta-sûtra).
1	7	26	13	Or let him make it enter a piece of wood, in the same way as into the kindling-sticks.
1	7	26	14	A piece of Khadira wood, or of Palâsa, or of Udumbara, or of Asvattha wood—
1	7	26	15	With one of these kinds of wood he fetches, where he turns in (on his journey), fire from the house of a Srotriya, and puts the (piece of wood) into which his fire has entered, on (that fire), with the two verses, 'He who has received the oblations' , and 'Awake!' .
1	7	26	16	The way in which he sacrifices has been explained (in the Srauta-sûtra).
1	7	26	17	If one half-monthly sacrifice has been omitted, he should have a sacrifice to (Agni) Pathikrit performed over this (fire). If two (half-monthly sacrifices), to (Agni) Vaisvânara and Pathikrit. If more than two, (the fire) has to be set up again.
1	7	26	18	If the fire is destroyed or lost, or if it is mixed with other fires, it has to be set up again..
1	8	27	1	If he will have a house built, he should during the northerly course of the sun, in the time of the increasing moon, under the constellation Rohinî and under the three constellations designated as Uttara (Uttara-Phalgunî, Uttara-Ashâdhâ, Uttara-Proshthapadâh) put wood on the fire, perform the rites down to the Vyâhriti oblations, and should sacrifice with (the verses), 'This, O Varuna' . Then he serves food to the Brâhmanas and causes them to say, 'An auspicious day! Hail! Good luck!' he puts on a garment that has not yet been washed, touches water, takes a shovel with (the formula), 'On the impulse of the god Savitri'  draws lines thrice from the left to the right round (the places where the pits for the posts shall be dug) with (the formula), 'A line has been drawn' , digs the pits (in which the posts shall be erected) as it is fit, and casts the earth (dug out of those pits) towards the inside (of the building-ground).
1	8	27	2	He erects the southern door-post with (the verse), 'Here I erect a firm house; it stands in peace, streaming ghee. Thus may we walk in thee, O house, blessed with heroes, with all heroes, with unharmed heroes;'
1	8	27	3	The northern (door-post) with (the verse), 'Stand here firmly, O house, rich in horses and cows, rich in delight; rich in sap, overflowing with milk be set up, for the sake of great happiness.'
1	8	27	4	With (the verse), 'To thee (may) the young child (go), to thee the calf with its companion, to thee the golden cup; to thee may they go with pots of curds'—he touches the two posts, after they have been erected.
1	8	27	5	In the same way  he erects the two chief posts,
1	8	27	6	And touches them as above .
1	8	27	7	He fixes the beam of the roof on the posts with (the formula), 'Rightly ascend the post, O beam, erect, shining, drive off the enemies. Give us treasures and valiant sons.'
1	8	27	8	When the house has got its roof, he touches it with (the verse),'The consort of honour, a blissful refuge, a goddess, thou hast been erected by the gods in the beginning; clothed in grass, cheerful thou art; bring us bliss, to men and animals.'
1	8	27	9	Then, under the constellation Anurâdhâ, the ground (on which the house stands) is expiated (in the following way).
1	8	27	10	By night he puts wood on the fire in an inner room (of the house), performs the rites down to the Vyâhriti oblations, and sacrifices (with the following Mantras):
1	8	28	1	The two verses commencing 'Vâstoshpati!' .'Vâstoshpati! Be our furtherer; make our wealth increase in cows and horses, O Indu (i.e. Soma). Free from decay may we dwell in thy friendship; give us thy favour, as a father to his sons. Svâhâ!'May death go away; may immortality come to us. May Vivasvat's son (Mama) protect us from danger. May wealth, like a leaf (that falls) from a tree, fall down over us. May Sakîpati (i.e. Indra) be with us. Svâhâ!'Go another way, O death, that belongs to thee, separated from the way of the gods. Vâstoshpati! To thee who hears us, I speak: do no harm to our offspring nor to our heroes. Svâhâ!'To this most excellent place of rest we have gone, by which we shall victoriously gain cows, treasures, and horses. May wealth, like a leaf (that falls) from a tree, fall down over us. May Sakîpati be with us. Svâhâ!'This, O Varuna' : 'Hail! Good luck!'
1	8	28	2	In this way the ground (on which the house stands) should be expiated every year;
1	8	28	3	Every season, according to some (teachers).
1	8	29	1	'House, do not fear, do not tremble; bringing strength we come back. Bringing strength, gaining wealth, wise I come back to the house, rejoicing in my mind.'Of which the traveller thinks, in which much joydwells, the house I call. May it know us as we know it.'Hither are called the cows; hither are called goats and sheep; and the sweet essence of food is called hither to our house.'Hither are called many friends, the sweet companionship of friends. May our dwellings always be unharmed with all our men.'Rich in sap, rich in milk, refreshing, full of joy and mirth, free from hunger (?) and thirst, O house, do not fear us'—with (these verses) he approaches his house (when returning from a journey).
1	8	29	2	'To thee I turn for the sake of safety, of peace. The blissful one! The helpful one!, Welfare! Welfare!'—with (this formula) he enters.
1	8	29	3	On that day, on which he has arrived, he should avoid all quarrelling.
1	8	29	4	'The joyful house I enter which does not bring death to men; most manly (I enter) the auspicious one. Bringing refreshment, with genial minds (we enter the house); joyfully I lie down in it'—with (this verse) he lies down.
1	8	29	5	'May we find our way with thee through all hostile powers, as through streams of water'—with (this verse) he looks at his wife; he looks at his wife.End of the First Prasna.
2	1	1	1	Now (follows) the Sîmantonnayana (or parting of the pregnant wife's hair).
2	1	1	2	In the fourth month of her first pregnancy, in the fortnight of the increasing moon, under an auspicious constellation he puts wood on the fire, performs the rites down to the Vyâhriti oblations, and makes four oblations to Dhâtri with (the verse), 'May Dhâtri give us wealth' .
2	1	1	3	'This, O Varuna' : 'Hail! Good luck!'He then makes the wife who has taken a bath, who wears a clean dress and ornaments, and has spoken with a Brâhmana, sit down to the west of the fire, facing the east, in a round apartment. Standing to the east (of the wife), facing the west he parts her hair upwards (i.e. beginning from the front) with a porcupine's quill that has three white spots, holding (also) a bunch of unripe fruits, with the Vyâhritis (and) with the two (verses), 'I invoke Râkâ,' (and), 'Thy graces, O Râkâ' . Then he recites over (his wife the formulas), 'Soma alone is our king, thus say the Brâhmana tribes, sitting near thy banks, O Gaṅgâ,whose wheel does not roll back (?)!' (and), 'May we find our way with thee through all hostile powers, as through streams of water' .
2	1	2	1	Now (follows) the Pumsavana (i.e. the ceremony for securing the birth of a male child).
2	1	2	2	In the third month, in the fortnight of the increasing moon, under an auspicious constellation  in a round apartment. He gives her a barley-grain in her right hand with (the formula), 'A man art thou;'
2	1	2	3	With (the formula), 'The two testicles are ye,' two mustard seeds or two beans, on both sides of that barley-grain.
2	1	2	4	With (the formula), 'Svâvritat' (? svâvrittat?) (he pours) a drop of curds (on those grains). That he gives her to eat.
2	1	2	5	After she has sipped water, he touches her belly with (the formula), 'With my ten (fingers) I touch. thee that thou mayst give birth to a child after ten months.'
2	1	2	6	(He pounds) the last shoot of a Nyagrodha trunk (and mixes the powder) with ghee, or a silkworm (and mixes the powder) with a pap prepared of panick seeds, or a splinter of a sacrificial post taken from the north-easterly part (of that post) exposed to the fire, or (he takes ashes or soot [?] of)a fire that has been kindled by attrition, and inserts that into the right nostril of (the wife) whose head rests on the widely spread root (of an Udumbara tree?).
2	1	2	7	If she miscarries, he should three times stroke (her body), from the navel upwards, with her wet hand, with (the formula), 'Thitherwards, not hitherwards, may Tvashtri bind thee in his bonds. Making (the mother) enter upon the seasons, live ten months (in thy mother's womb); do not bring death to men.'
2	1	2	8	When her confinement has come, he performs the kshipraprasavana (i.e. the ceremony for accelerating the confinement). Having placed a water-pot near her head and a Tûryantî plant near her feet, he touches her belly.
2	1	3	1	'As the wind blows, as the ocean waves, thus may the embryo move; may it come forth together with the after-birth'—with (this verse) he strokes (her body) from above downwards.
2	1	3	2	When the child is born, he lays an axe on a stone, and a piece of gold on that axe; after he has turned these things upside down (so that the stone lies uppermost), he holds the boy over them with (the two verses),'Be a stone, be an axe, be insuperable gold. Thou indeed art the Veda called son; so live a hundred autumns.'From limb by limb thou art produced; out of the heart thou art born. Thou indeed art the self (âtman) called son; so live a hundred autumns.'
2	1	3	3	fire away, and they bring the Sûtikâgni (or the fire of the confinement).
2	1	3	5	That (fire) is only used for warming (dishes, etc.).
2	1	3	6	No ceremonies are performed with it except the fumigation (see the next Sûtra).
2	1	3	7	He fumigates (the child) with small grains mixed with mustard seeds. These he throws into the coals (of the Sûtikâgni) (eleven times, each time with one of the following Mantras):(a) 'May Sanda and Marka, Upavîra, Sândikera, Ulûkhala, Kyavana vanish from here. Svâhâ!(b) 'Âlikhat, Vilikhat, Animisha, Kimvadanta, Upasruti. Svâhâ!(c) 'Aryamna, Kumbhin, Satru, Pâtrapâni, Nipuni. Svâhâ!(d) 'May Ântrîmukha, Sarshapâruna vanish from here. Svâhâ!(e) 'Kesinî, Svalominî, Bagâbogâ, Upakâsini—go away, vanish from here. Svâhâ!(f) 'The servants of Kuvera, Visvavâsa (?), sent by the king of demons, all of one common origin,walk through the villages, visiting those who wake (?). Svâhâ!(g) '"Kill them! Bind them!" thus (says) this messenger of Brahman. Agni has encompassed them. Indra knows them; Brihaspati knows them; I the Brâhmana know them who seize (men), who have prominent teeth, rugged hair, hanging breasts. Svâhâ!(h) 'The night-walkers, wearing ornaments on their breasts, with lances in their hands, drinking out of skulls! Svâhâ!(i) 'Their father Ukkaihsrâvyakarnaka walks (?) at their head, their mother walks in the rear, seeking a vikhura (?) in the village. Svâhâ!(k) 'The sister, the night-walker, looks at the family through the rift (?)—she who wakes while people sleep, whose mind is turned on the wife that has become mother. Svâhâ!(l) 'O god with the black path, Agni, burn the lungs, the hearts, the livers of those (female demons); burn their eyes. Svâhâ!'
2	1	3	8	Then he washes his hands and touches the ground with (the verses), 'O thou whose hair is well parted! Thy heart that dwells in heaven, in the moon: of that immortality impart to us. May I not weep over distress (falling to my lot) through my sons.'I know thy heart, O earth, that dwells in heaven, in the moon: thus may I, the lord of immortality, not weep over distress (falling to my lot) through my sons.'
2	1	3	9	Now (follows) the medhâganana (or productionof intelligence). With (an instrument of) gold over which he has laid a Darbha shoot tied (to that piece of gold) he gives to the child, which is held so that it faces the east, ghee to eat, with the formulas, 'Bhûh! I sacrifice the Rikas over thee! Bhuvah! I sacrifice the Yagus over thee! Suvah! I sacrifice the Sâmans over thee! Bhûr bhuvah suvah! I sacrifice the Atharvan and Aṅgiras hymns over thee!'
2	1	3	10	He then bathes the child with lukewarm water with (the following Mantras):'From chronic disease, from destruction, from wile, from Varuna's fetter I release thee. I make thee guiltless before the Brahman; may both Heaven and Earth be kind towards thee.'May Agni together with the waters bring thee bliss, Heaven and Earth together with the herbs; may the air together with the wind bring thee bliss; may the four quarters of the heaven bring thee bliss.'Rightly have the gods released the sun from darkness and from the seizing demon; they have dismissed him from guilt; thus I deliver this boy from chronic disease, from curse that comes from his kin, from wile, from Varuna's fetter.'
2	1	3	11	He then places the child in his mother's lap with (the verse):
2	1	4	1	'The four divine quarters of the heaven, the consorts of Wind, whom the sun surveys: to theirlong life I turn thee; may consumption go away to destruction!'
2	1	4	2	Having placed (him there) he addresses (his wife with the Mantra), 'May no demon do harm to thy son, no cow that rushes upon him (?). Mayst thou become the friend of treasures; mayst thou live in prosperity in thy own way.'
2	1	4	3	He washes her right breast and makes her give it to the child with (the formula), 'May this boy suckle long life; may he reach old age. Let thy breast be exuberant for him, and life, glory, renown, splendour, strength.'
2	1	4	4	In the same way the left breast.
2	1	4	5	With (the words), 'He does not suffer, he does not cry, when we speak to him and when we touch him'—he touches both breasts. Then he places a covered water-pot near her head, with (the formula), 'O waters, watch in the house. As you watch with the gods, thus watch over this wife, the mother of a good son.'
2	1	4	6	On the twelfth day the mother and the son take a bath.
2	1	4	7	They make the house clean.
2	1	4	8	They take the Sûtikâgni away, and they bring the Aupâsana fire.
2	1	4	9	Having put wood on that fire, and having performed the rites down to the Vyâhriti oblations, they sacrifice twelve oblations with the verses, 'May Dhâtri give us wealth' ; according to some (teachers they make) thirteen (oblations).
2	1	4	10	'This, O Varuna' : 'Hail! Good luck!' Then let him give a name to the child, of two syllables or of four syllables, beginning with a sonant, with a semi-vowel in it, with a long vowel (or) the Visarga at its end, or a name that contains the particle su, for such a name has a firm foundation; thus it is understood.
2	1	4	11	Let the father and the mother pronounce (that name) first. For it is understood, 'My name first, O Gâtavedas.'
2	1	4	12	He should give him two names. For it is understood , 'Therefore a Brâhmana who has two names, will have success.'
2	1	4	13	The second name should be a Nakshatra name.
2	1	4	14	The one name should be secret; by the other they should call him.
2	1	4	15	He should give him the name Somayâgin (i.e. performer of Soma sacrifices) as his third name; thus it is understood.
2	1	4	16	When he returns from a journey, or when his son returns, he touches him with (the formula), 'With Soma's lustre I touch thee, with Agni's splendour, with the glory of the sun.'
2	1	4	17	With (the formula), 'With the humkâra (the mystical syllable hum) of the cattle I kiss thee, N.N.! For the sake of long life and of glory! Hum!' hekisses his head. Then he seizes with his right hand (his son's) right hand together with the thumb, with the five sections, 'Agni is long-lived.'
2	1	4	18	'May Agni bestow on thee long life everywhere' —this (verse) he murmurs in (his son's) right ear as above.
2	1	5	1	Then (follows) in the sixth month the Annaprâsana (i.e. the first feeding with solid food).
2	1	5	2	In the fortnight of the increasing moon, under an auspicious constellation, he puts wood on the fire, performs the rites down to the Vyâhriti oblations, and sacrifices (with the Mantras), 'This, O Varuna' : 'Hail! Good luck!' Then he gives (to the child) threefold food to eat, curds, honey, and ghee, with (the formula), 'Bhûh I lay into thee! Bhuvah I lay into thee! Suvah I lay into thee!'
2	1	5	3	Then he gives him (other) food to eat with (the formula), 'I give thee to eat the essence of water and of the plants. May water and plants be kind towards thee. May water and plants do no harm to thee.'
2	1	6	1	In the third year (he performs) the Kûdâkarman (i.e. the tonsure of the child's head).
2	1	6	2	In the fortnight : 'Hail! Good luck!' The boy sits down to the west of the fire, facing the east;
2	1	6	3	To the north (of the fire) his mother or a student (brahmakârin) holds a lump of bull's dung;
2	1	6	4	Therewith he (or she) receives the (cut-off) hair.
2	1	6	5	He then pours cold and warm water together.
2	1	6	6	Having poured warm water into cold water he moistens the hair near the right ear with (the formula), 'May the waters moisten thee for life' .
2	1	6	7	With (the formula), 'Herb, protect him!' (Taitt. Samh., loc. cit.) he puts an herb, with its point upwards, into (the hair).
2	1	6	8	With (the formula), 'Axe, do no harm to him!' (Taitt. Samh., loc. cit.) he touches (that herb) with the razor.
2	1	6	9	With (the words), 'Heard by the gods, I shave that (hair)' (Taitt. Samh., loc. cit.) he shaves him.
2	1	6	10	In the same way (he moistens, &c.) the other (sides of his head) from left to right.
2	1	6	11	Behind with (the Mantra), 'The razor with which Savitri, the knowing one, has shaven (the beard) of king Soma and Varuna, with that, ye Brâhmanas, shave his (head); make that he be united with vigour, with wealth, with glory.'On the left side with (the Mantra), '(The razor) with which Pûshan has shaven (the beard) of Brihaspati, of Agni, of Indra, for the sake of long life, with that I shave thy (head), N.N.!'Before with (the Mantra), 'That he may long live in joy, and may long see the sun.'
2	1	6	12	After the hair has been shaven, they arrange the locks (which are left over), according to custom or according to what family he belongs.
2	1	6	13	A person who is kindly disposed towards him, gathers the (cut-off) hair and buries it in a cow-stable, or near an Udumbara tree, or in a clump of Darbha grass, with (the Mantra), 'Where Pûshan, Brihaspati, Savitri, Soma, Agni (dwell), they have in many ways searched where they should depose it, between heaven and earth, the waters and heaven.'
2	1	6	14	He makes a gift to a Brâhmana according to his liberality.
2	1	6	15	To the barber (he gives) boiled rice with butter.
2	1	6	16	In the same way the Godânakarman (or the ceremony of shaving the beard) is performed in the sixteenth year.
2	1	6	17	He has him shaven including the top-lock.
2	1	6	18	Some declare that he leaves there the top-lock.
2	1	6	19	Or he performs the Godâna sacred to Agni.
2	1	6	20	He gives a cow to his Guru.End of the First Patala.
2	2	7	1	Now (follows) the expiation for attacks of the dog-demon (epilepsy) (on the boy).
2	2	7	2	When the attack assails (the boy, the performer of the ceremony) arranges his sacrificial cord over his left shoulder, sips water, and fetches water with a cup that has not yet been used (in order to pour it upon the boy). In the middle of the hall he elevates (the earth at) that place in which they use to gamble; he besprinkles it with water, casts the dice, scatters them (on all sides), makes a heap of them, spreads them out, makes an opening in the thatched roof of the hall, takes the boy in through that (opening), lays him on his back on the dice, and pours a mixture of curds and salt-water upon him, while they beat a gong towards the south. (The curds and water are poured on the sick boy with the following Mantras),'Kurkura, Sukurkura, the Kurkura with the dark fetter . . . .'Sârameya runs about, looking, as it were, upon the sea. He, the Suvîrina (?), wears golden ornaments on his neck and on his breast, the most excellent (ornaments) of dogs (?).'Suvîrina, let him loose! Let him loose, Ekavrâtya! Let him loose, doggy! Let him loose, Khat!'Teka and Sasaramatamka and Tûla and Vitûla and the white one and the red one. Let him loose! . . . . the brown and red one.'On those two single ones the sarasyakâs (?) rundown in the third heaven from here. Khat! Go away. Sîsarama! Sârameya! Adoration to thee, Sîsara!'Your mother is called the messenger; your father is the mandâkaka (mandûkaka, the frog?). Khat! Go away, &c.'Your mother is called dulâ (the staggering one?); your father is the mandâkaka. Khat! Go away, &c.'The stallions (stamp with) their feet. Do not gnash (?) thy teeth. Khat! Go away, &c.'The carpenter hammers at (the chariots) that have wheels (?). Do not gnash (?) thy teeth. Khat! Go away,' &c.
2	2	7	3	Then (the performer of the ceremony) says, 'Choose a boon.'
2	2	7	4	(The father or brother of the boy replies), 'I choose the boy.'
2	2	7	5	They should do so, when the attack assails him, three times in the day, in the morning, at noon, and in the afternoon, and when he has recovered.End of the Second Patala.
2	3	8	1	Now (follows) the sacrifice of the sûlagava (or spit-ox, for propitiating Rudra and averting plague in cattle).
2	3	8	2	In the fortnight of the increasing moon, under an auspicious constellation, he puts wood on the fire, strews (Darbha grass) on the entire surface around the fire, cooks a mess of sacrificial food with milk,sprinkles it (with Âgya), takes it from the fire, builds two huts to the west of the fire, and has the spit-ox led to the southerly (hut) with (the verse), 'May the fallow steeds, the harmonious ones, bring thee hither, together with the white horses, the bright, wind-swift, strong ones, that are as quick as thought. Come quickly to my offering, Sarva! Om!'
2	3	8	3	To the northerly (hut he has) the 'bountiful one' (led);—(i.e. the consort of the spit-ox);
2	3	8	4	To the middle (between the two huts) the 'conqueror' (i.e. a calf of those two parents).
2	3	8	5	He gives them water to drink in the same order in which they have been led (to their places), prepares three messes of boiled rice, 'spreading under' and sprinkling (Âgya) on them, and touches (the three beasts with those portions of rice) in the order in which they have been led (to their places), with (the Mantras), 'May he, the bountiful one, touch it. To the bountiful one svâhâ! May she, the bountiful one, touch it. To the bountiful one svâhâ! May the conqueror touch it. To the conqueror svâhâ!'
2	3	8	6	After he has performed (the rites) down to the Vyâhriti oblations, he takes the messes of boiled rice (to the fire) and sacrifices them (the first with the Mantra),'To the god Bhava svâhâ! To the god Rudra svâhâ! To the god Sarva svâhâ! To the god Îsâna . . . Pasupati . . . Ugra . . . Bhîma svâhâ! To the great god svâhâ!'
2	3	8	7	Then he sacrifices the consort's rice to the consort (of Rudra, with the Mantra), 'To the consortof the god Bhava svâhâ! To the consort of the god Rudra . . . Sarva . . . Îsâna . . . Pasupati . . . Ugra . . . Bhîma . . . of he great god svâhâ!'
2	3	8	8	Then he sacrifices of the middle portion of rice with (the Mantra), 'To the conqueror svâhâ! To the conqueror svâhâ!'
2	3	8	9	Then he cuts off from all the three portions of rice and sacrifices the Svishtakrit oblation with (the Mantra), 'To Agni Svishtakrit svâhâ!'
2	3	8	10	Around that fire they place their cows so that they can smell the smell of that sacrifice.
2	3	8	11	'With luck may they walk round our full face'—with (these words) he walks round all (the objects mentioned, viz. the fire, the three beasts, and the other cows), so as to turn his right side towards them, and worships (the sûlagava) with the (eleven) Anuvâkas, 'Adoration to thee, Rudra, to the wrath' , or with the first and last of them.
2	3	9	1	Now follows the distribution of Palâsa leaves (at different places).
2	3	9	2	'Protector of the house, touch them! To the protector of the house svâhâ! Protectress of thehouse, touch them! To the protectress of the house svâhâ! Protector of the door, touch them! To the protector of the door svâhâ! Protectress of the door, touch them! To the protectress of the door svâhâ!'—with (these formulas) he puts down four leaves; (then other leaves) with (the formulas), 'Noisy ones, touch them! To the noisy ones svâhâ! Quivered ones. . . ye that run in the rear . . . Minglers (?) . . . Choosers . . . Eaters, touch them! To the eaters svâhâ!'—
2	3	9	3	Then again ten (leaves) with (the formula), 'Divine hosts, touch them! To the divine hosts svâhâ!'
2	3	9	4	Then other ten (leaves) with (the formula), 'Divine hosts that are named and that are not named, touch them! To them svâhâ!'
2	3	9	5	Then he makes a basket of leaves, puts into it a lump of boiled rice with an 'under-spreading' (of Âgya) and sprinkling (Âgya) on it, goes outside his pasture-grounds, and hangs (the basket) up at a tree with (the formula), 'Quivered ones, touch it! To the quivered ones svâhâ!'
2	3	9	6	He then performs worship (before that basket) with (the formula), 'Adoration to the quivered one, to him who wears the quiver! To the lord of the thieves adoration!'
2	3	9	7	With sandal salve, surâ and water, unground, fried grains, cow-dung, with a bunch of dûrvâ grass, with Udumbara, Palâsa, Sami, Vikaṅkata, and[paragraph continues] Asvattha (branches), and with a cow-tail he besprinkles his cows, the bull first, with (the words), 'Bring luck! Bring luck!' Then (the bull) will bring him luck.
2	3	9	8	He then cooks that mess of sacrificial food, sacred to Kshetrapati (the lord of the field), with milk, sprinkles it (with Âgya), takes it from the fire, and performs a sacrifice to Kshetrapati on the path where his cows use to go, without a fire, on four or on seven leaves.
2	3	9	9	He has him (i.e. the Kshetrapati? an ox representing Kshetrapati?) led (to his place) in the same way as the sûlagava .
2	3	9	10	He sacrifices quickly, (for) the god has a strong digestion (?).
2	3	9	11	He then performs worship with (the two verses), 'With the lord of the field,' 'Lord of the field' .
2	3	9	12	Of (the remains of that sacrificial food) sacred to Kshetrapati his uterine relations should partake, according as the custom of their family is.End of the Third Patala.
2	4	10	1	On the new-moon day, in the afternoon, or on days with an odd number in the dark fortnight the monthly (Srâddha is performed).
2	4	10	2	Having prepared food for the Fathers and having arranged southward-pointed Darbha grass as seats (for the Brâhmanas whom he is going to invite), he invites an odd number of pure Brâhmanas who are versed in the Mantras, with no deficient limbs, who are not connected with himself by consanguinity or by their Gotra or by the Mantras, (such as his teacher or his pupils).
2	4	10	3	In feeding them he should not look at any (worldly) purposes.
2	4	10	4	Having put wood on the fire and strewn southward pointed and eastward-pointed Darbha grass around it, having prepared the Âgya in an Âgya pot over which he has laid one purifier, having sprinkled water round (the fire) from right to left, and put a piece of Udumbara wood on (the fire), he sacrifices with the (spoon called) Darvi which is made of Udumbara wood.
